input_len,output_len,loss,bottleneck_size,bottleneck_activation,LSTM_type,num,smape,name
18,20,mae,50,leaky,bi,27,13.247687888860186,18_20_50_leaky
18,20,mae,50,leaky,bi,28,13.242875699270352,18_20_50_leaky
18,20,mae,50,leaky,bi,29,13.225609483107766,18_20_50_leaky
18,20,mae,50,leaky,bi,,13.162887411402066,18_20_50_leaky
18,12,mae,25,relu,bi,0,13.4969151051387,18_12_25_relu
18,12,mae,25,relu,bi,1,13.326590293722207,18_12_25_relu
18,12,mae,25,relu,bi,2,13.286923775684466,18_12_25_relu
18,12,mae,25,relu,bi,3,13.259343056764727,18_12_25_relu
18,12,mae,25,relu,bi,4,13.385363862150601,18_12_25_relu
18,12,mae,25,relu,bi,5,13.413975974661318,18_12_25_relu
18,12,mae,25,relu,bi,6,13.762310912519437,18_12_25_relu
18,12,mae,25,relu,bi,7,13.385430823008411,18_12_25_relu
18,12,mae,25,relu,bi,8,13.614403130374175,18_12_25_relu
18,12,mae,25,relu,bi,9,13.102982271109632,18_12_25_relu
18,12,mae,25,relu,bi,10,13.738669671362182,18_12_25_relu
18,12,mae,25,relu,bi,11,13.264532068399788,18_12_25_relu
18,12,mae,25,relu,bi,12,13.255640577897632,18_12_25_relu
18,12,mae,25,relu,bi,13,13.351769869640698,18_12_25_relu
18,12,mae,25,relu,bi,14,13.272924390239767,18_12_25_relu
18,12,mae,25,relu,bi,15,13.563584389384411,18_12_25_relu
18,12,mae,25,relu,bi,16,13.157974026750093,18_12_25_relu
18,12,mae,25,relu,bi,17,13.407520978082797,18_12_25_relu
18,12,mae,25,relu,bi,18,13.28731989011948,18_12_25_relu
18,12,mae,25,relu,bi,19,13.122687435406503,18_12_25_relu
18,12,mae,25,relu,bi,20,13.658624607188527,18_12_25_relu
18,12,mae,25,relu,bi,21,13.289593439697105,18_12_25_relu
18,12,mae,25,relu,bi,22,13.189843121708872,18_12_25_relu
18,12,mae,25,relu,bi,23,13.34806557971232,18_12_25_relu
18,12,mae,25,relu,bi,24,13.251674372817957,18_12_25_relu
18,12,mae,25,relu,bi,25,13.295341249149201,18_12_25_relu
18,12,mae,25,relu,bi,26,13.164988169678335,18_12_25_relu
18,12,mae,25,relu,bi,27,13.311863897987434,18_12_25_relu
18,12,mae,25,relu,bi,28,13.428009185388932,18_12_25_relu
18,12,mae,25,relu,bi,29,13.414775854757476,18_12_25_relu
18,12,mae,25,relu,bi,,13.176320191570081,18_12_25_relu
18,20,mae,50,tanh,bi,0,13.290862366578896,18_20_50_tanh
18,20,mae,50,tanh,bi,1,13.276844157911002,18_20_50_tanh
18,20,mae,50,tanh,bi,2,13.222562209563648,18_20_50_tanh
18,20,mae,50,tanh,bi,3,13.27689786569141,18_20_50_tanh
18,20,mae,50,tanh,bi,4,13.263261066489076,18_20_50_tanh
18,20,mae,50,tanh,bi,5,13.287268715356111,18_20_50_tanh
18,20,mae,50,tanh,bi,6,13.147207940223304,18_20_50_tanh
18,20,mae,50,tanh,bi,7,13.179088968867232,18_20_50_tanh
18,20,mae,50,tanh,bi,8,13.169427845082904,18_20_50_tanh
18,20,mae,50,tanh,bi,9,13.134176999956294,18_20_50_tanh
18,20,mae,50,tanh,bi,10,13.225578051683911,18_20_50_tanh
18,20,mae,50,tanh,bi,11,13.273776492163556,18_20_50_tanh
18,20,mae,50,tanh,bi,12,13.091459249968407,18_20_50_tanh
18,20,mae,50,tanh,bi,13,13.22544784379966,18_20_50_tanh
18,20,mae,50,tanh,bi,14,13.291718464589424,18_20_50_tanh
18,20,mae,50,tanh,bi,15,13.282136992767098,18_20_50_tanh
18,20,mae,50,tanh,bi,16,13.444890169641324,18_20_50_tanh
18,20,mae,50,tanh,bi,17,13.610292566447281,18_20_50_tanh
18,20,mae,50,tanh,bi,18,13.74730836607931,18_20_50_tanh
18,20,mae,50,tanh,bi,19,13.351496751574384,18_20_50_tanh
18,20,mae,50,tanh,bi,20,13.979181716200106,18_20_50_tanh
18,20,mae,50,tanh,bi,21,13.246177767801392,18_20_50_tanh
18,20,mae,50,tanh,bi,22,13.026178327007417,18_20_50_tanh
18,20,mae,50,tanh,bi,23,13.147458152944733,18_20_50_tanh
18,20,mae,50,tanh,bi,24,13.342343157898352,18_20_50_tanh
18,20,mae,50,tanh,bi,25,13.227940862052828,18_20_50_tanh
18,20,mae,50,tanh,bi,26,13.419213496231423,18_20_50_tanh
18,20,mae,50,tanh,bi,27,13.27947276223745,18_20_50_tanh
18,20,mae,50,tanh,bi,28,13.42245813096255,18_20_50_tanh
18,20,mae,50,tanh,bi,,13.141456640585371,18_20_50_tanh
18,12,mae,50,tanh,bi,0,13.811101635313324,18_12_50_tanh
18,12,mae,50,tanh,bi,1,13.63173962016527,18_12_50_tanh
18,12,mae,50,tanh,bi,2,13.368730149449089,18_12_50_tanh
18,12,mae,50,tanh,bi,3,13.688252791817368,18_12_50_tanh
18,12,mae,50,tanh,bi,4,13.252247007006845,18_12_50_tanh
18,12,mae,50,tanh,bi,5,13.190676430010852,18_12_50_tanh
18,12,mae,50,tanh,bi,6,13.134471405737395,18_12_50_tanh
18,12,mae,50,tanh,bi,7,13.612562359251365,18_12_50_tanh
18,12,mae,50,tanh,bi,8,13.163219409335714,18_12_50_tanh
18,12,mae,50,tanh,bi,9,13.174075119360179,18_12_50_tanh
18,12,mae,50,tanh,bi,10,13.210691591347166,18_12_50_tanh
18,12,mae,50,tanh,bi,11,13.713319712058762,18_12_50_tanh
18,12,mae,50,tanh,bi,12,13.40464059773063,18_12_50_tanh
18,12,mae,50,tanh,bi,13,13.395351508968965,18_12_50_tanh
18,12,mae,50,tanh,bi,14,13.10689869373162,18_12_50_tanh
18,12,mae,50,tanh,bi,15,13.132087443476893,18_12_50_tanh
18,12,mae,50,tanh,bi,16,13.396128879683488,18_12_50_tanh
18,12,mae,50,tanh,bi,17,13.217032674612673,18_12_50_tanh
18,12,mae,50,tanh,bi,18,13.548335967195676,18_12_50_tanh
18,12,mae,50,tanh,bi,19,13.277908371102667,18_12_50_tanh
18,12,mae,50,tanh,bi,20,13.596768828960789,18_12_50_tanh
